"AirportID","PlaneID"
"1101","3761"
"1634","3761"
"2152","1259"
"3213","1259"
"2957","1259"
"3213","1259"
"1634","3761"
"2932","3761"
"1634","3761"
"1849","3761"
"796","1571"
"824","1571"
"1472","3248"
"1473","3248"
"796","1571"
"979","1571"
"2152","1259"
"3213","1259"
"1634","3761"
"2101","3761"
"3848","1178"
"6079","1178"
"1634","3761"
"5449","3761"
"348","1234"
"1522","1234"
"2277","1259"
"3213","1259"
"1634","3761"
"1849","3761"
"1472","3248"
"1476","3248"
"503","475"
"1686","475"
"2152","1259"
"3213","1259"
"3125","1758"
"4772","1758"
"513","629"
"602","629"
"602","629"
"5973","629"
"1470","3248"
"1471","3248"
"622","3537"
"628","3537"
"1614","475"
"1686","475"
"726","3537"
"1450","3537"
"1472","3248"
"1473","3248"
"3125","2927"
"5469","2927"
"1472","3248"
"1473","3248"
"2265","1259"
"2272","1259"
"628","3537"
"657","3537"
"2215","1259"
"3213","1259"
"602","1113"
"5789","1113"
"2190","1259"
"3213","1259"
"1187","1234"
"1522","1234"
"2958","1259"
"3213","1259"
"1472","3248"
"1473","3248"
"622","3537"
"628","3537"
"726","475"
"1686","475"
"602","1113"
"2182","1113"
"3100","1758"
"3125","1758"
"1450","475"
"1686","475"
"1351","1234"
"1522","1234"
"1634","3761"
"5449","3761"
"1472","3248"
"1476","3248"
