"PlaneID","RetirementYear","TypeName","AirlineName","TimesMaintenance","PiecesCosts"
"475","2021","Airbus A319","Jat Airways",\N,\N
"847","2018","Airbus A320","Saudi Arabian Airlines",\N,\N
"1113","2021","Airbus A340-300","Scandinavian Airlines System",\N,\N
"1571","2018","Avro RJ85","South African Airways",\N,\N
"1758","2021","Airbus A319","SilkAir",\N,\N
"1876","2018","Airbus A320","Iberia Airlines",\N,\N
"2927","2020","Airbus A320","Jetstar Asia Airways",\N,\N
"3761","2020","Airbus A330-300","Swiss International Air Lines",\N,\N
"3782","2020","Boeing 767","Iberia Airlines",\N,\N
"629","2018","Canadair Regional Jet 900","Scandinavian Airlines System","3","13496989"
"651","2020","Canadair Regional Jet 900","Iberia Airlines","2","7076268"
"832","2020","Canadair Regional Jet 900","Scandinavian Airlines System","1","3957876"
"1178","2018","Boeing 737-800","Eastar Jet","2","7836804"
"1234","2018","Airbus A320","Iberia Airlines","1","4095985"
"1259","2019","Boeing 737-800","Jin Air","2","4399979"
"1344","2021","Airbus A320","Vueling Airlines","1","4209906"
"3248","2021","Aerospatiale/Alenia ATR 72","Flybaboo","3","8562469"
"3406","2021","De Havilland Canada DHC-8-400 Dash 8Q","Nova Airline","1","3865820"
"3537","2019","Boeing 737-600","Scandinavian Airlines System","1","2429291"
"4949","2020","Airbus A319","Vueling Airlines","1","3802145"
